lab.tree;lab.fruit_label;fruit_id;lab.caliber_mm;lab.height_mm;lab.weight_gr;lab.observations
2;159;02159;69.72;65.76;153.7;
2;160;02160;49.85;44.37;47.3;
2;161;02161;76.84;71.69;204.1;
2;162;02162;71.56;72.25;177.8;
2;163;02163;74.11;75.23;200.1;
2;164;02164;75.31;70.26;191.6;
2;165;02165;70.92;65.59;148.4;
2;166;02166;56.14;56.52;80.5;
2;167;02167;63.68;66.07;136.4;
2;168;02168;58.19;49.83;81.6;
2;169;02169;62.81;65;119.2;
2;170;02170;70.79;75.37;178.4;
2;171;02171;64.43;54.57;102.3;
2;172;02172;65.03;64.42;135.7;
2;173;02173;73.73;66.38;161.8;
2;174;02174;75.55;78.27;207.1;
2;175;02175;78.13;70.96;205.6;
2;176;02176;73.63;66;161.7;
2;177;02177;68.06;62.77;133.9;
2;178;02178;76.11;74.42;193.9;
2;179;02179;70.14;70.66;169.5;
2;180;02180;69.17;64.92;155.1;
3;181;03181;69.28;64.81;155.2;
3;182;03182;80.57;81.1;251.7;
3;183;03183;70.89;71.92;178;
3;184;03184;70.27;70.17;164.7;
3;185;03185;68.25;70.45;162.2;
3;186;03186;68.78;66.22;159.6;
3;187;03187;77.25;79.78;291.3;
3;188;03188;77.16;82.89;234;
3;189;03189;65.08;65.09;162.4;
3;190;03190;61.82;57.93;133.4;
3;191;03191;68.77;64.42;151.3;
3;192;03192;73.7;70.69;195.4;
3;193;03193;69.22;65.59;181.9;
3;194;03194;63.55;59.88;112.8;
3;195;03195;67.34;65.1;142.5;
3;196;03196;57.91;51.96;87;
3;197;03197;64.04;58.59;126.7;
3;198;03198;69.79;60.16;145;
3;199;03199;69.38;66.55;161.8;
3;200;03200;73.54;73.6;199;
3;201;03201;77.7;74.05;206.2;
3;202;03202;68.71;71.26;202.2;
3;203;03203;75.87;78.31;270.1;
3;204;03204;73.47;67.08;169.2;
3;205;03205;71.42;65.65;191.6;
3;206;03206;75.47;70.28;179.6;
3;207;03207;64.61;60.94;149;
3;208;03208;70.63;61.82;153.1;
3;209;03209;78.28;79.16;237;
3;210;03210;75.22;71.5;200.5;
3;211;03211;69.23;64.03;151.3;
3;212;03212;74.5;75.01;191.3;
3;213;03213;55.18;62.82;106.2;
3;214;03214;72.21;69.25;169.1;
3;215;03215;71.18;66.03;157.9;
3;216;03216;72.5;74.34;191.4;
3;217;03217;70.01;64.94;178.4;
3;218;03218;64.33;65.28;164.8;
3;219;03219;81.29;80.05;260.9;
3;220;03220;73.45;68.34;183.4;
3;221;03221;80.02;77.7;242.5;
3;222;03222;61.18;61.08;140.1;
3;223;03223;67.39;63.7;152.7;
3;224;03224;71.96;74.08;176.6;
3;225;03225;66.74;67.16;195.2;
3;226;03226;74.05;74.99;201.7;
3;227;03227;74.43;73.3;202;
3;228;03228;66.84;66.18;183.6;
3;229;03229;66.27;68.82;188.3;
3;230;03230;57.33;49.66;105.3;
3;231;03231;68.67;58.79;165.2;
3;232;03232;66.83;63.19;187.4;
3;233;03233;65.35;60.12;157.6;
3;234;03234;58.29;51.95;99;
3;235;03235;63.25;63.73;166.6;
3;236;03236;67.1;61.43;168.8;
3;237;03237;71.21;70.44;155.1;
3;238;03238;72.11;69.38;205.5;
3;239;03239;54.8;51.24;91.3;
3;240;03240;68.42;70.11;195.4;
3;241;03241;70.97;67.3;191.9;
3;242;03242;68.19;62.95;177.3;
3;243;03243;67.38;63.75;173.5;
3;244;03244;59.47;61.53;127.7;
3;245;03245;67.2;64.24;187.8;
3;246;03246;64.95;70.63;169.9;
3;247;03247;72.26;71.75;221.5;
3;248;03248;73.76;74.56;187.2;
3;249;03249;68.51;63.13;170.3;
3;250;03250;69.14;65.73;190.5;
3;251;03251;73.92;72.97;187.9;
4;252;04252;69.57;68.69;152.6;
4;253;04253;79.15;79.33;229.7;
4;254;04254;66.45;64.84;142.1;Rotten
4;255;04255;73.72;72.7;186.2;
4;256;04256;68.14;62.2;137.7;
4;257;04257;67.38;62.65;143.2;Rotten
4;258;04258;77.98;80.3;244.9;
4;259;04259;65.82;66.19;136.1;
4;260;04260;68.85;59.85;137.7;
4;261;04261;81.91;74.36;231.4;
4;262;04262;80.63;77.06;237.7;
4;263;04263;73.95;73.36;191.4;
4;264;04264;84.33;82.34;277.9;
4;265;04265;72.52;64.47;172.2;
4;266;04266;73.3;69.09;176.4;
4;267;04267;66.92;60.81;128.9;
4;268;04268;72.5;62.66;150.6;
4;269;04269;69.85;68.07;157.4;
4;270;04270;69.97;71.71;155;
4;271;04271;70.08;69.66;155.2;
4;272;04272;64.95;69.66;140.3;
4;273;04273;69.85;67.29;146.9;
4;274;04274;70.27;68.16;157.8;
4;275;04275;75.76;72.61;206.2;
4;276;04276;69.41;62.15;143.1;
4;277;04277;74.28;67.78;167.7;
4;278;04278;71.52;73.6;182.7;
4;279;04279;73.17;70.11;182.4;
4;280;04280;68.29;60.31;141.2;
4;281;04281;63.57;60.06;125.7;
4;282;04282;81.97;84;264.3;
4;283;04283;75.09;74.13;195.5;
4;284;04284;78.27;73.2;211.6;
4;285;04285;67.36;70.42;151.1;
4;286;04286;71.59;73.87;174.8;
4;287;04287;73.35;75.29;202.9;
4;288;04288;67.63;60.65;131.4;
4;289;04289;72.56;68.7;166.6;
4;290;04290;68.07;61.45;137.3;
4;291;04291;76.47;74.2;202;
4;292;04292;70.58;65.18;148.5;
4;293;04293;76;76.81;218.1;
4;294;04294;71.73;71.75;171.6;
4;295;04295;77.87;77.05;224.8;
4;296;04296;81.12;80.94;248.7;
4;297;04297;72.36;72.59;184;
4;298;04298;80.98;78.14;239.8;
4;299;04299;72.92;73.42;187;
4;300;04300;73.6;69.49;179.3;
4;301;04301;55.6;58.15;82.3;
4;302;04302;73.94;69.78;188.4;
4;303;04303;74.1;72.05;191.6;
4;304;04304;68.77;62.83;146.5;
4;305;04305;75.56;78.97;215.3;
4;306;04306;67.09;63.96;134.8;
4;307;04307;76.54;74.29;207;
4;308;04308;65.24;69.06;143.8;
4;309;04309;69.12;70.54;163.4;
4;310;04310;74.47;72.54;201.9;
4;311;04311;65.93;62.91;136;
4;312;04312;65.57;64.65;131.6;
4;313;04313;73.9;67.52;185.4;
4;314;04314;73.61;68.05;175;
4;315;04315;77.49;71.53;194.7;
4;316;04316;79.63;77.16;218.6;
4;317;04317;74.04;71.49;191.1;
4;318;04318;65.44;59.58;129.8;
4;319;04319;69.47;64.54;155.1;
4;320;04320;79.03;72.96;212.3;
4;321;04321;69.56;70.86;174.7;
4;322;04322;78.17;72.56;204.8;
4;323;04323;74.02;71.03;193.3;
4;324;04324;83.8;78.58;267.5;
4;325;04325;82.69;77.45;248.8;
4;326;04326;69.53;73.91;182.4;
4;327;04327;72.82;66.08;170.6;
4;328;04328;75.9;70.21;188.1;
4;329;04329;78.2;72.63;225.1;
4;330;04330;77.2;76.75;203.4;
4;331;04331;63.31;55.66;92;
4;332;04332;69.36;61.32;154.2;
4;333;04333;75.33;73.46;204.6;
4;334;04334;72.15;68.29;165.5;
4;335;04335;72.03;70.69;182.5;
4;336;04336;71.86;70.31;167.4;
4;337;04337;68.1;65.17;132.4;
4;338;04338;67.41;64.15;141.1;
4;339;04339;67.93;64.41;140.5;
4;340;04340;74.72;76.85;212.5;
4;341;04341;78.21;73.57;226.3;
4;342;04342;70.6;63;153.8;
4;343;04343;77.24;75.7;208.8;
4;344;04344;84;77.02;257.3;
4;345;04345;81.48;75.16;255.2;
4;346;04346;79.94;73.47;217.2;
4;347;04347;75.69;74.78;203.8;
4;348;04348;73.54;73.55;179.5;
4;349;04349;70.6;71.23;172.2;
4;350;04350;69.44;66.16;151.9;
4;351;04351;76.51;72.5;199;
4;352;04352;75.87;82.06;202.5;
4;353;04353;71.05;70.22;157;
4;354;04354;77.78;71.89;215.7;
4;355;04355;77.04;71.25;194.8;
4;356;04356;79.58;81.28;249.9;
4;357;04357;60.75;61.07;110.4;
5;1;05001;80.25;75.69;241;
5;2;05002;76.23;70.42;190.7;
5;3;05003;69.15;70.4;157.8;
5;4;05004;68.92;57.41;135.8;
5;5;05005;69.12;72.42;165.3;
5;358;05358;73.48;67.05;166.9;
5;359;05359;67.43;65.58;140.4;
5;360;05360;63.57;54.77;115.5;
5;361;05361;53.43;49.06;73.2;
5;362;05362;61.82;56.17;106.1;
5;363;05363;54.46;50.9;76.1;
5;364;05364;76.44;74.42;201.8;
5;365;05365;61.21;55.57;102.9;
5;366;05366;68.28;59.28;136.1;
5;367;05367;70.59;70.1;172.8;
5;368;05368;71.19;70.79;174.1;
5;369;05369;73.61;72.97;186;
5;370;05370;65.13;61.87;127.4;
5;371;05371;66.85;60.08;125.2;
5;372;05372;76.82;74.32;201.8;
5;373;05373;73.5;72.45;196.9;
5;374;05374;68.98;62.8;152.8;
5;375;05375;74.23;71.03;193.2;
5;376;05376;69.82;72.87;167.9;
5;377;05377;74.72;72.65;184.8;
5;378;05378;73.43;67.84;182.9;
5;379;05379;57.82;54.8;96.5;
5;380;05380;75.89;71.9;205.4;
5;381;05381;55.18;54.19;78.4;
5;382;05382;71.78;67.2;157.9;
5;383;05383;71.62;63.93;157.4;
5;384;05384;69.85;67.99;166.4;
5;385;05385;68.86;67.97;156.9;
5;386;05386;75.59;71.38;188.8;
5;387;05387;70.74;67.18;164;
5;388;05388;76;74.43;186.2;
5;389;05389;75.16;75.45;194.5;
5;390;05390;74.31;71.6;195.5;
5;391;05391;68.03;67.17;146.9;
5;392;05392;69.14;64.95;158.9;
5;393;05393;73.15;70.33;186.3;
5;394;05394;70.8;71.02;162.2;
5;395;05395;71.93;66.71;169;
5;396;05396;70.85;65.58;162.4;
5;397;05397;69.96;68.24;163.8;
5;398;05398;65.61;65.71;143.3;
5;399;05399;72.13;68.04;164.8;
5;400;05400;68.79;65.48;155.1;
5;401;05401;73.25;73.33;183.4;
5;402;05402;69.58;67.96;158.6;
5;403;05403;64.89;64.48;131.6;
5;404;05404;75.66;72.06;193.8;
5;405;05405;71.15;71.89;180.1;
5;406;05406;67.14;65.21;139.5;
5;407;05407;72.47;68.94;179.5;
5;408;05408;70.51;69.25;153.4;
5;409;05409;73.1;70.15;190.7;
5;410;05410;67.96;60.73;138.9;
5;411;05411;78.68;70.04;203.2;
5;412;05412;74.78;69.91;191.7;
5;413;05413;71.07;63.78;163.4;
5;414;05414;63.3;57.1;102.7;
5;415;05415;75.51;68.15;185.7;
5;416;05416;66.53;62.1;131.7;
5;417;05417;64.78;66.94;148.2;
5;418;05418;68.46;67.25;150.5;
5;419;05419;68.15;66.89;142.1;
5;420;05420;66.31;62.51;137.3;
5;421;05421;69.58;57.58;125.5;
5;422;05422;62.67;52.53;102.3;
5;423;05423;46.84;44.15;43.5;
5;424;05424;65.73;68.19;134.2;
5;425;05425;69.65;66.81;161.5;
5;426;05426;73.91;73.09;178.8;
5;427;05427;75.57;67.86;191.4;
5;428;05428;70.61;68.55;165.6;
5;429;05429;70.1;64.57;147.8;
5;430;05430;54.14;53.67;81.9;
5;431;05431;71.94;67.68;163.5;
5;432;05432;75.42;70.34;189;
5;433;05433;75.74;68.11;183;
5;434;05434;58.67;58.07;101.5;
5;435;05435;55.52;58.38;80.4;
5;436;05436;67.83;63.23;138.1;
5;437;05437;70.79;66.08;156.2;
5;438;05438;73.38;70.29;178.6;
5;439;05439;68.18;63.32;136.5;
5;440;05440;62.95;63.21;132.7;
5;441;05441;68.27;59.48;138.2;
