lab.tree;lab.fruit_label;fruit_id;lab.depth_mm;lab.o_caliber_mm;lab.o_height_mm;lab.caliber_mm;lab.height_mm;lab.mass_gr;lab.observations
1;BALL_060;BALL_060;1446.0;60.0;60.0;60.0;60.0;108.0;
1;BALL_120;BALL_120;1427.0;120.0;120.0;120.0;120.0;409.0;
