lab.tree;lab.fruit_label;fruit_id;lab.caliber_mm;lab.height_mm;lab.weight_gr;lab.observations
2;136;2136;66.27;59.62;128.1;
1;BALL_060;BALL_060;60;60;108;
1;BALL_120;BALL_120;120;120;409;
