lab.tree;lab.fruit_label;fruit_id;lab.caliber_mm;lab.height_mm;lab.weight_gr;lab.observations
2;118;2118;71.61;70.28;171.8;
2;119;2119;70.62;72.3;183.2;
2;125;2125;82.78;83.49;269.9;
2;129;2129;75.87;69.79;194.5;
2;120;2120;77.76;76.45;231.9;
2;124;2124;80.7;71.01;217.7;
2;136;2136;66.27;59.62;128.1;
2;171;2171;64.43;54.57;102.3;
3;202;3202;68.71;71.26;202.2;
3;203;3203;75.87;78.31;270.1;
1;BALL_060;BALL_060;60;60;108;
1;BALL_120;BALL_120;120;120;10;
